"Playlist Date","Playlist Title","DJ Name",Time,Artist,Song,Release,New,Genre,Label
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:56:48 PM",Wishy,Paradise,"Paradise - EP",N,Alternative,Winspear
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:53:40 PM",EasyFun,Fanta,"Deep Trouble - Single",,Electronic,"PC Music"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:44:39 PM",Bodywash,"Massif Central","I Held the Shape While I Could",,Alternative,"Light Organ Records"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:41:49 PM",Kou,"la tempesta",Kou,N,,Aguirre
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:31:53 PM","Baby Jey","Why U Asking Now","Crop Circles",N,Alternative,"Maintenance Records"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:27:50 PM",Heartour,"The Unfurling",Years,,Alternative,Heartour
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:24:15 PM","Sweet Spirit",Fingerprints,Trinidad,,Alternative,"Merge Records"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:15:27 PM","dietrich eichmann","game and earnest",1989,,,oakmus
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:09:23 PM","The Love Language","Southern Doldrums","Baby Grand",,Alternative,"Merge Records"
"May 30, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:04 PM","Xiu Xiu","I Luv the Valley OH!","Fabulous Muscles",,Alternative,Acuarela
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:58:34 PM","Julie Byrne","Melting Grid","Not Even Happiness",,,"Julie Byrne"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:54:32 PM","American Football","Where Are We Now?","American Football (Lp2)",,Alternative,"Polyvinyl Records"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:46:22 PM","Joni Mitchell","Urge for Going","Archives, Vol. 1: The Early Years (1963-1967)",,,Rhino
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:49 PM",Florist,Feathers,Florist,,Alternative,"Double Double Whammy"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:35:14 PM","Kimya Dawson","I Will Never Forget","Hidden Vagenda",,Alternative,"Great Crap Factory"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:30:49 PM","Cat Power","Nude As the News","What Would the Community Think",,Alternative,Matador
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:44 PM",Alvvays,Velveteen,"Blue Rev",,Alternative,"[PIAS] Australia"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:15:49 PM","Jeff Tweedy","I'll Sing It",Sukierae,,,"Legacy Recordings"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:12:34 PM","Alex G",Sorry,DSU,,Alternative,Self-Released
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:10:06 PM","Emily Yacina",chances,"all the things",,,"danger collective"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:06:08 PM","Sonic Youth","Silver Panties","Silver Session (For Jason Knuth)",,Alternative,"Squeaky Squawk"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:01:58 PM","Snail Mail",Anytime,Lush,,Alternative,Matador
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:58:43 PM",Sophie,"It's Okay To Cry","Oil of Every Pearl's Un - Insides",,Electronic,"Future Classic"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:49:32 PM","Post Animal",Schedule,"Forward Motion Godyssey",,Alternative,"Polyvinyl Records"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:42:24 PM","Joanna Newsom",Divers,Divers,,Alternative,"Drag City"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:34:41 PM","Crooks & Nannies",Control,"No Fun EP",,Alternative,"Grand Jury Music"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:30:43 PM","Haley Blais","The Cabin",Wisecrack,N,Alternative,"Arts & Crafts México"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:26:53 PM","Madeline Kenney","I Drew a Line","A New Reality Mind",N,Electronic,"Carpark Records"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:16:02 PM","Kimya Dawson","Tire Swing","Remember That I Love You",,Alternative,"Great Crap Factory"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:12:51 PM","Kevin Morby","Pearly Gates","City Music",,Americana,"Dead Oceans"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:08:33 PM","Belle and Sebastian","Wrapped Up In Books","Books - EP",,Alternative,"Rough Trade"
"May 23, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:05:47 PM","Cat Power","Sea of Love","The Covers Record",,Alternative,Matador
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:58:12 PM","Sega Bodega",Hopeless!!!,"Self*Care - EP",,,N/A
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:48:12 PM","Pleasure Planet",Evaporate,"Pleasure Planet - EP",,,Self:Timer
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:44:42 PM",Kingdom,"Stalker Ha","Dreama - EP",,Electronic,"Night Slugs"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:34:30 PM","Pleasure Model","Pill Towers","Kendo Dynamics",,Electronic,"100% Silk"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:31:54 PM",Emptyset,Dissolve,Borders,,Electronic,"Thrill Jockey Records"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:25:50 PM","Alvin Curran","Speak Low","Alvin Curran: Endangered Species",,Classical,"New World Records"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:14:08 PM",Mogwai,Coolverine,"Every Country's Sun",,Alternative,"Rock Action Records"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:08:01 PM","Molchat Doma","Утонуть / Utonut'",Monument,,Electronic,"Sacred Bones Records"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:04:19 PM","Coco & Clair Clair","The Hills (feat. Deela)",Sexy,,,"Nice Girl World via Alternate Side and Many Hats Distribution"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:02:32 PM","Dorian Electra","Sorry Bro (I Love You)","My Agenda",,Alternative,"Dorian Electra"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:58:02 PM",EASYFUN,"Full Circle","Deep Trouble - Single",,Electronic,"PC Music"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:54:10 PM","Julie Byrne","Hope's Return","The Greater Wings",N,Alternative,"Ghostly International"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:47:35 PM","Slow Pulp",Worm,Yard,N,Alternative,Anti/Epitaph
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:45:21 PM","Mates of State","So Begins Our Alabee","Polyvinyl Plays Polyvinyl",,Alternative,"Polyvinyl Records"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:38:15 PM","Robert Hood",SH-101,"Minimal Nation",,Electronic,M-Plant
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:30:36 PM",EASYFUN,Laplander,"Deep Trouble - EP",,Electronic,"PC Music"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:26:19 PM",yeule,dazies,softscars,N,Alternative,"Ninja Tune"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:24:10 PM",sadie,"Another Light","Tides - EP",N,Alternative,sadieworld
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:19:57 PM","Cowgirl Clue","Fairy Tales","Rodeo Star",N,World,"Vada Vada"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:13:23 PM",Air,"Le voyage de Pénélope","Moon Safari",,World,"Parlophone (France)"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:09:52 PM","Black Marble","A Great Design","A Different Arrangement",,Alternative,"Hardly Art"
"May 16, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:05:36 PM",DIIV,"How Long Have You Known?",Oshin,,Alternative,"Captured Tracks"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:57:21 PM","The Beths","Don't Go Away","Jump Rope Gazers",,,"Carpark Records"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:49:45 PM","Alex G",Snot,"Beach Music",,Alternative,"Domino Recording Co"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:47:01 PM",Alvvays,"Belinda Says","Blue Rev",,Alternative,Transgressive
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:42:43 PM","Daniel Johnston","Funeral Girl","Rejected Unknown",,Alternative,"Pickled Egg"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:31:35 PM","Franny London","Strangers and Friends","Cold Water - EP",,,"Fia Records"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:29:27 PM","Cowgirl Clue","Trust Fall","Rodeo Star",,,"Vada Vada"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:25:29 PM","Julie Byrne","Conversation Is a Flowstate","The Greater Wings",,Alternative,"Ghostly International"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:15:03 PM",Sadie,"All Night","Tides - EP",,Alternative,sadieworld
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:10:38 PM",Waxahatchee,"Right Back to It (feat. MJ Lenderman)","Tigers Blood",,Alternative,Anti/Epitaph
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:07:15 PM",quannnic,Comatose,Stepdream,N,,deadAir
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:04:30 PM",Wallice,disappear,"Mr Big Shot - EP",,Alternative,"Dirty Hit"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","8:00:04 PM","Grrrl Gang","The Star",Spunky!,,Alternative,"Trapped Animal"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:56:47 PM","Slow Pulp","Gone 2",Yard,,Alternative,Anti/Epitaph
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:47:35 PM",yeule,dazies,softscars,N,Alternative,"Ninja Tune"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:44:04 PM","The Jesus and Mary Chain","Silver Strings","Glasgow Eyes",N,Alternative,"Fuzz Club"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:41:12 PM","Emily Yacina","Nothing Lasts","Trick of the Light w/ Nothing Lasts - Single",N,Alternative,"Matsor Projects"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:32:21 PM","Nation of Language","Swimming in the Shallow Sea","Strange Disciple",N,Alternative,"Play It Again Sam"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:29:51 PM","Jane Remover","Cage Girl / Camgirl","Census Designated",N,Alternative,deadAir
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:23:03 PM",EASYFUN,Laplander,"Deep Trouble - EP",,Electronic,"PC Music"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:15:10 PM","Amps for Christ",Branches,"The People At Large",,Alternative,"Kill Rock Stars"
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:10:30 PM",Deerhunter,Helicopter,"Halcyon Digest",,Alternative,4AD
"May 9, 2024","LIVE IN OBLIVION (sophomore year finale!!!)","DJ Z-SKI","7:06:02 PM",Nothing,"Guilty of Everything","Guilty of Everything",,Alternative,"Relapse Records"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:56:37 PM","Kim Jung Mi",Haenim,Now,,,"Lion Productions"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:49:40 PM","Joanna Newsom","Goose Eggs",Divers,,Alternative,"Drag City"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:48:18 PM","Linda Smith",Absence,"I So Liked Spring",N,Alternative,"Captured Tracks"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:43:44 PM",Softcult,"Haunt You Still","Haunt You Still - Single",,Alternative,"Easy Life Records"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:41:37 PM","Jim White",Curtains,"All Hits: Memories",N,Classical,"Drag City"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:32:43 PM",Waxahatchee,"Ice Cold","Tigers Blood",N,Alternative,Anti/Epitaph
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:25 PM","David Lynch","Pinkys Dream","Crazy Clown Time",,,"Sunday Best"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:22:56 PM","Jeff Tweedy","Slow Love",Sukierae,,Alternative,"Legacy Recordings"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:12:07 PM","Ill Lit","Diner Girls",WACMusic,,Alternative,"Badman Recording Co"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:08:32 PM","The Devil Makes Three",Graveyard,"The Devil Makes Three",,,"Kahn Records"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:04:00 PM","Ezra Furman","Train Comes Through","All of Us Flames",,Alternative,Anti/Epitaph
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:59:21 PM","Sharon Van Etten","Darkness Fades","We've Been Going About This All Wrong",,Alternative,Jagjaguwar
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:56:16 PM","Slow Pulp",Track,Moveys,,Alternative,Winspear
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:46:12 PM",Bibio,Oakmoss,"Sleep on the Wing",,Electronic,"Warp Records"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:43:12 PM","The Brook & The Bluff",Tangerine,Bluebeard,,Alternative,"The Brook & The Bluff"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:40:11 PM",Hovvdy,Jean,Hovvdy,N,Alternative,"Arts & Crafts México"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:29:06 PM","Sufjan Stevens","Springfield, or Bobby Got a Shadfly Caught In His Hair","The Avalanche: Outtakes and Extras from the Illinois Album",,Alternative,"Asthmatic Kitty Records"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:25:08 PM","Kimya Dawson","My Rollercoaster","Remember That I Love You",,Alternative,"Great Crap Factory"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:14:38 PM",Espers,"Rosemary Lane","The Weed Tree",,,"Drag City Records"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:10:46 PM","Alex G","Powerful Man",Rocket,,Alternative,"Domino Recording Co"
"May 2, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:07:41 PM","Amps for Christ","As I Walked Out","The Oak In The Ashes",,Alternative,Shrimper
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:57:27 PM",Letters,"You Make Me Feel (Like the Island I'm Not)","A Free Sampler",,Americana,Self-Released
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:49:50 PM","We Are The West","Ah, Light!","Only One Us",,Alternative,"Timeless Elegance Records"
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:45:01 PM","Parkington Sisters","Loneliness Has No Home",Collide,,Alternative,"Parkington Sisters"
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:40:54 PM","Shaina Hayes","Sun and Time","Kindergarten Heart",N,,Bonsound
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:31:17 PM","Thee Sacred Souls","Weak for Your Love","Thee Sacred Souls",,R&B/Soul,"Penrose / Daptone Records"
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:27:19 PM","Slow Pulp",Broadview,Yard,,Alternative,Anti/Epitaph
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:15:29 PM","Applesauce Tears","Galaxy Game","Alpha Drift",,Alternative,"Black Cottage Records"
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:13:40 PM","Art Bears","The Bath of Stars","Winter Songs",,Classical,"Black Beard Records"
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:10:37 PM","Alex G",Gretel,"House of Sugar",,Alternative,"Domino Recording Co"
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:08:01 PM","Amps for Christ",Branches,"The People At Large",,Alternative,"Kill Rock Stars"
"Apr 25, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:05:34 PM","Amps for Christ",Edward,Electrosphere,,Alternative,Shrimper
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:57:17 PM",Bedouine,"One of These Days",Bedouine,,,"Glassnote Entertainment Group LLC"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:56:53 PM",strfker,"under water / in air",,,,polyvinyl
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:49:23 PM","Blonde Redhead",If,"Sit Down for Dinner",N,Alternative,section1
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:46:57 PM",Tennis,"South Carolina","Cape Dory",,Alternative,"Fat Possum"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:43:29 PM","Stolen Jars","Younger Nights","A Reminder",,Alternative,"Antifragile Music"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:08 PM","Amps for Christ","Thatcher Hall Blues","The Beggars Garden",,Alternative,Shrimper
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:34:05 PM","The Wild Reeds","The Morn' Will Come","The Morn' Will Come",,Americana,Self-Released
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:32:19 PM","The Brook & The Bluff","Normal Things",Bluebeard,N,Alternative,"The Brook & The Bluff"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:28:50 PM","feeble little horse","Heavy Water","Girl with Fish",N,Alternative,"Saddle Creek"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:23:09 PM",Froth,"Nothing Baby",Bleak,,Alternative,Froth
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:16:02 PM",Alvvays,"Lottery Noises","Blue Rev",,Alternative,Transgressive
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:11:18 PM","Alex G",Snot,"Beach Music",,Alternative,"Domino Recording Co"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:07:53 PM","Summer Camp","Ghost Train","Welcome to Condale",,Alternative,"Apricot Recordings/Moshi Moshi Records"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:03:15 PM","Tweedy & Jeff Tweedy","Slow Love",Sukierae,,Alternative,"Legacy Recordings"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:57:56 PM",Pumice,Toilet,Phylis,,Alternative,"Soft Abuse"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:47:36 PM","Belle and Sebastian","Me and the Major",,,Alternative,Matador
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:42:15 PM",Waxahatchee,"3 Sisters","Tigers Blood",N,Alternative,Anti/Epitaph
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:38:45 PM","Julie Byrne","Conversation Is a Flowstate","The Greater Wings",N,Alternative,"Ghostly International"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:30:00 PM","Nation of Language","Swimming in the Shallow Sea","Strange Disciple",N,Alternative,"Play It Again Sam"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:26:55 PM","Cowgirl Clue","Tangles in My Hair","Rodeo Star",N,,"Vada Vada"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:23:58 PM","Slow Pulp",Cramps,Yard,N,Alternative,Anti/Epitaph
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:14:43 PM","St Vincent","The Party","Actor (Bonus Track Version)",,Alternative,4AD
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:09:11 PM",pumice,"susan alcorn",Canto,,,"relative pitch records"
"Apr 18, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:05:56 PM","Beach House","Some Things Last a Long Time",Devotion,,Alternative,"Apple Orchard Music"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:56:47 PM",Pastel,Touched,"Bone-Weary EP",,R&B/Soul,veryjazzed
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:47:59 PM","The Soft Pink Truth","Buried by Time and Dust","Why Do the Heathen Rage?",,Electronic,"Thrill Jockey"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:46:21 PM","Erase Errata","Tongue Tied","Other Animals",,Alternative,"Inconvenient Press And Recordings"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:42:06 PM",Liturgy,"Before I Knew the Truth",93696,,Alternative,"Thrill Jockey Records"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:37:59 PM","Molly Burch",Bed,Daydreamer,,"Indie Rock","Captured Tracks"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:27:46 PM","object blue","Act Like It Then","Do you plan to end a siege?",,Electronic,"Tobago Tracks"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:22:59 PM","Fever Ray","IDK About You",Plunge,,Electronic,etcetc
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:16:38 PM","Dorian Electra","Iron Fist","My Agenda",,,"Dorian Electra"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:13:56 PM","Sudan Archives","Come Meh Way","Sudan Archives - EP",,R&B/Soul,"Stones Throw Records"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:09:44 PM","Antony and the Johnsons","Pressing On","Swanlights (Deluxe Version)",,Alternative,"Rough Trade"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:06:24 PM",Grouper,"Birthday Song","Grid of Points",,Electronic,kranky
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:00:35 PM","LXS COCHINXS","La Vaca","LXS COCHINXS EP",,,"LXS COCHINXS"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:57:53 PM","Aye Nako","Maybe She's Bored with It","Silver Haze",,Alternative,"Don Giovanni Records"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:55:29 PM","100 gecs","xXXi_wud_nvrstøp_ÜXXx (99jakes Remix)","1000 gecs and The Tree of Clues",,Alternative,"Dog Show Records"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:43:26 PM",Maieli,"It's Over Bae","8ulentina & Tobago Tracks Present - Dismiss U",,,"Tobago Tracks"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:41:08 PM","A Great Big World","Everyone Is Gay","Is There Anybody Out There?",,,Epic
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:37:22 PM","Diana Ross","I'm Coming Out",Diana,,R&B/Soul,UNI/MOTOWN
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:31:57 PM","Six Jumping Jacks","Masculine Women Feminine Men (Recorded 1926)","1920s Dance Bands, Vol. 4 - Six Jumping Jacks (Jump Again) [Recorded 1926 -1931]",,,"Vintage Recordings."
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:27:55 PM","Dreamer Isioma","Stop Calling the Police On Me","The Leo Sun Sets",,R&B/Soul,"Dreamer Isioma LLC"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:25:16 PM",Sophie,Immaterial,"Oil of Every Pearl's Un - Insides",,Electronic,"Future Classic"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:17:00 PM","Green Buzzard","Nothing’s Wasted","Amidst The Clutter & Mess",,Alternative,"I OH YOU"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:11:28 PM","UNI and The Urchins","Life In the Middle Class",Simulator,,Alternative,"Chimera Music"
"Apr 11, 2024","LIVE IN OBLIVION","DJ Z-SKI","7:05:50 PM","Rose Droll","Something of a Rabbit","Your Dog",,"Indie Rock","Double Denim Records"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:56:15 PM","Macintosh Plus",月,"floral shoppe",,Electronic,"BEER ON THE RUG"
"Apr 4, 2024","LIVE IN OBLIVION","DJ Z-SKI","8:45:14 PM",Radian,Cicada,"Distorted Rooms",,Alternative,"THRILL-JP / HEADZ"
